id,card_text
table:wp_wc_product_download_directories,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_product_download_directories ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_product_meta_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_product_meta_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() WC_Data_Store_WP->update_lookup_table() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-product-data-store-cpt.php
table:wp_wc_rate_limits,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_rate_limits ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_reserved_stock,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_reserved_stock ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWCHReserveStock->release_stock_for_order() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/includes/wc-stock-functions.php
table:wp_wc_tax_rate_classes,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_tax_rate_classes ACCESSED_BY_FUNCTIONS:WC_Tax::get_tax_rate_classes() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-tax.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_webhooks,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_webhooks ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_api_keys,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_api_keys ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_attribute_taxonomies,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_attribute_taxonomies ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_downloadable_product_permissions,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_downloadable_product_permissions ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_log,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_log ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
